127.0.0.1 - - [04/Jan/2018:14:18:57 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:58 -0700] "GET /MVCProject/ HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:58 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:58 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:58 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:58 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:12 -0700] "GET /MVCProject/ HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:12 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:12 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:12 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:34 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:34 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
